Country (or territory),Subregion,Region,IMF[1],IMF[1],World Bank[5],World Bank[5],CIA[6],CIA[6]
Country (or territory),Subregion,Region,Estimate,Year,Estimate,Year,Estimate,Year
U.S. Virgin Islands *,Caribbean,Americas,,,,,3872,2016
Guernsey *,Northern Europe,Europe,,,,,3465,2015
Andorra *,Southern Europe,Europe,,,,,3327,2015
Seychelles *,Eastern Africa,Africa,2561.0,2021.0,2530.0,2020.0,2852,2019
Saint Lucia *,Caribbean,Americas,2539.0,2021.0,2377.0,2020.0,2823,2019
Belize *,Central America,Americas,2626.0,2021.0,2567.0,2020.0,2734,2019
Comoros *,Eastern Africa,Africa,2785.0,2021.0,2881.0,2020.0,2603,2019
Greenland *,Northern America,Americas,,,,,2413,2015
Antigua and Barbuda *,Caribbean,Americas,1804.0,2021.0,1855.0,2020.0,2127,2019
San Marino *,Southern Europe,Europe,2086.0,2021.0,2148.0,2019.0,2008,2018
Gibraltar *,Southern Europe,Europe,,,,,2044,2014 [obsolete source]
Faroe Islands *,Northern Europe,Europe,,,,,2001,2014 [obsolete source]
Grenada *,Caribbean,Americas,1747.0,2021.0,1788.0,2020.0,1908,2019
Solomon Islands *,Melanesia,Oceania,1662.0,2021.0,1799.0,2020.0,1783,2019
Sint Maarten *,Caribbean,Americas,,,1471.0,2018.0,1436,2018
Saint Vincent and the Grenadines *,Caribbean,Americas,1418.0,2021.0,1417.0,2020.0,1380,2019
Saint Kitts and Nevis *,Caribbean,Americas,1196.0,2021.0,1305.0,2020.0,1396,2019
Northern Mariana Islands *,Micronesia,Oceania,,,,,1242,2016
Samoa *,Polynesia,Oceania,1077.0,2021.0,1336.0,2019.0,1285,2019
Turks and Caicos Islands,Caribbean,Americas,,,863.0,2020.0,1117,2019
Vanuatu *,Melanesia,Oceania,816.0,2021.0,895.0,2020.0,945,2019
São Tomé and Príncipe *,Middle Africa,Africa,875.0,2021.0,937.0,2020.0,853,2019
Dominica *,Caribbean,Americas,841.0,2021.0,751.0,2020.0,855,2019
Tonga *,Polynesia,Oceania,616.0,2021.0,695.0,2019.0,667,2019
American Samoa *,Polynesia,Oceania,,,,,658,2016
Saint Martin *,Caribbean,Americas,,,,,562,2005 [obsolete source]
British Virgin Islands *,Caribbean,Americas,,,,,500,2017
Micronesia *,Micronesia,Oceania,354.0,2021.0,411.0,2019.0,390,2018
Cook Islands *,Polynesia,Oceania,,,,,300,2016
Palau *,Micronesia,Oceania,229.0,2021.0,330.0,2019.0,316,2019
Kiribati *,Micronesia,Oceania,270.0,2021.0,289.0,2020.0,267,2019
Saint Pierre and Miquelon *,Northern America,Americas,,,,,261,2015
Marshall Islands *,Micronesia,Oceania,210.0,2021.0,247.0,2019.0,227,2018
Falkland Islands *,South America,Americas,,,,,206,2015
Anguilla *,Caribbean,Americas,,,,,175,2009 [obsolete source]
Nauru *,Micronesia,Oceania,132.0,2021.0,152.0,2019.0,145,2019
Wallis and Futuna *,Polynesia,Oceania,,,,,60,2004 [obsolete source]
Tuvalu *,Polynesia,Oceania,52.0,2021.0,55.0,2020.0,49,2019
Saint Helena *,Western Africa,Africa,,,,,31,2009 [obsolete source]
